,0,1,2,3
0,Country of Origin,Taiwan,Number of Bags,1
1,Farm Name,卓武山咖啡農場,Bag Weight,100 kg
2,Lot Number,"The 2022 Pacific Rim Coffee Summit, T004",In-Country Partner,Taiwan Coffee Laboratory 台灣咖啡研究室
3,Mill,卓武山咖啡農場,Harvest Year,2021 / 2022
4,ICO Number,,Grading Date,"November 15th, 2022"
5,Company,Taiwan Coffee Laboratory,Owner,Hsu Ting Yey許定燁
6,Altitude,1200,Variety,Gesha
7,Region,Chiayi,Status,Completed
8,Producer,許定燁,Processing Method,Washed / Wet
