,0,1,2,3
0,Country of Origin,Ethiopia,Number of Bags,40
1,Farm Name,Gelana Geisha,Bag Weight,60 kg
2,Lot Number,"Grade 1, Guji, Natural, Gelana Geisha",In-Country Partner,METAD Agricultural Development plc
3,Mill,Dry Mill or Hulling Facility,Harvest Year,2021 / 2022
4,ICO Number,010/0475/0207,Grading Date,"August 26th, 2022"
5,Company,Kerchanshe Trading PLC,Owner,Isreal Degefa
6,Altitude,1900-2000,Variety,Gesha
7,Region,Guji,Status,Completed
8,Producer,Kerchanshe,Processing Method,Natural / Dry
