,0,1,2,3
0,Country of Origin,El Salvador,Number of Bags,300
1,Farm Name,El Corozo,Bag Weight,30 kg
2,Lot Number,1-104,In-Country Partner,Salvadoran Coffee Council
3,Mill,Cooperativa Cuzcachapa de R.L.,Harvest Year,2022 / 2023
4,ICO Number,09-30-90,Grading Date,"June 6th, 2023"
5,Company,SALVADORAN COFFEE COUNCIL,Owner,Consejo Salvadoreño del Café
6,Altitude,1800,Variety,Bourbon
7,Region,Apaneca - Ilamatepec,Status,Completed
8,Producer,Fernando Lima Mena,Processing Method,Washed / Wet
