,0,1,2,3
0,Country of Origin,Nicaragua,Number of Bags,300
1,Farm Name,Finca San Felipe,Bag Weight,30 kg
2,Lot Number,017-053-0155,In-Country Partner,Asociación de Cafés Especiales de Nicaragua
3,Mill,Beneficio Atlantic Sébaco,Harvest Year,2022 / 2023
4,ICO Number,017-053-0155,Grading Date,"March 3rd, 2023"
5,Company,Exportadora Atlantic S.A,Owner,"Exportadora Atlantic, S.A."
6,Altitude,1200,Variety,SHG
7,Region,Matagalpa,Status,Completed
8,Producer,Exportadora Atlantic S.A.,Processing Method,Natural / Dry
