,0,1,2,3
0,Country of Origin,Peru,Number of Bags,3
1,Farm Name,Ruya Yayu Farm,Bag Weight,5 kg
2,Lot Number,"The 2022 Pacific Rim Coffee Summit,PE02",In-Country Partner,Taiwan Coffee Laboratory 台灣咖啡研究室
3,Mill,no.,Harvest Year,2022
4,ICO Number,,Grading Date,"November 15th, 2022"
5,Company,Taiwan Coffee Laboratory,Owner,Taiwan Coffee Laboratory 台灣咖啡研究室
6,Altitude,1750,Variety,Gesha
7,Region,Villa Rica,Status,Completed
8,Producer,Ruya Yayu,Processing Method,Washed / Wet
