,0,1,2,3
0,Country of Origin,Taiwan,Number of Bags,1
1,Farm Name,嵩岳咖啡莊園,Bag Weight,90 kg
2,Lot Number,"The 2022 Pacific Rim Coffee Summit,T048",In-Country Partner,Taiwan Coffee Laboratory 台灣咖啡研究室
3,Mill,嵩岳咖啡莊園,Harvest Year,2021 / 2022
4,ICO Number,,Grading Date,"November 15th, 2022"
5,Company,Taiwan Coffee Laboratory,Owner,"Jhih Hao,GUO 郭志豪"
6,Altitude,1200,Variety,Gesha
7,Region,Yunlin,Status,Completed
8,Producer,郭志豪,Processing Method,Natural / Dry
